signal_bar_index,signal_time,available_data_until,signal_reason,expected_entry_bar,side,stop_loss
11,2025-03-19 00:11:00+00:00,2025-03-19 00:11:00+00:00,Bullish Rejection at OR_HIGH 19506.33,12,LONG,19502.832
303,2025-03-19 05:03:00+00:00,2025-03-19 05:03:00+00:00,Bullish Rejection at OR_HIGH 19506.33,304,LONG,19514.732
307,2025-03-19 05:07:00+00:00,2025-03-19 05:07:00+00:00,Bullish Rejection at OR_HIGH 19506.33,308,LONG,19512.843
375,2025-03-19 06:15:00+00:00,2025-03-19 06:15:00+00:00,Bullish Rejection at OR_HIGH 19506.33,376,LONG,19511.186
379,2025-03-19 06:19:00+00:00,2025-03-19 06:19:00+00:00,Bullish Rejection at OR_HIGH 19506.33,380,LONG,19511.621
446,2025-03-19 07:26:00+00:00,2025-03-19 07:26:00+00:00,Bullish Rejection at OR_HIGH 19506.33,447,LONG,19503.865
457,2025-03-19 07:37:00+00:00,2025-03-19 07:37:00+00:00,Bearish Rejection at OR_LOW 19493.28,458,SHORT,19499.264
491,2025-03-19 08:11:00+00:00,2025-03-19 08:11:00+00:00,Bearish Rejection at OR_LOW 19493.28,492,SHORT,19503.71
512,2025-03-19 08:32:00+00:00,2025-03-19 08:32:00+00:00,Bullish Rejection at OR_HIGH 19506.33,513,LONG,19504.332
524,2025-03-19 08:44:00+00:00,2025-03-19 08:44:00+00:00,Bullish Rejection at OR_HIGH 19506.33,525,LONG,19511.287
534,2025-03-19 08:54:00+00:00,2025-03-19 08:54:00+00:00,Bullish Rejection at OR_HIGH 19506.33,535,LONG,19508.154
547,2025-03-19 09:07:00+00:00,2025-03-19 09:07:00+00:00,Bullish Rejection at OR_HIGH 19506.33,548,LONG,19501.198
563,2025-03-19 09:23:00+00:00,2025-03-19 09:23:00+00:00,Bullish Rejection at OR_HIGH 19506.33,564,LONG,19503.776
825,2025-03-19 13:45:00+00:00,2025-03-19 13:45:00+00:00,Bullish Rejection at OR_HIGH 19506.33,826,LONG,19495.131
