trade_id,date,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,risk_points,reward_points,R_multiple,gross_pnl,cost,net_pnl,result,exit_reason,signal_bar_index,entry_bar_index,exit_bar_index
1,2025-03-19,LONG,2025-03-19 00:11:00+00:00,2025-03-19 00:12:00+00:00,2025-03-19 00:20:00+00:00,19509.542,19502.832,19522.962,19522.962,6.71,13.42,2.0,200.0,0.0,200.0,WIN,TAKE_PROFIT,11,12,20
2,2025-03-19,LONG,2025-03-19 05:03:00+00:00,2025-03-19 05:04:00+00:00,2025-03-19 05:05:00+00:00,19517.71,19514.732,19523.666,19514.232,2.978,5.956,-1.1679,-116.79,0.0,-116.79,LOSS,STOP_LOSS,303,304,305
3,2025-03-19,LONG,2025-03-19 05:07:00+00:00,2025-03-19 05:08:00+00:00,2025-03-19 05:31:00+00:00,19521.776,19512.843,19539.642,19539.642,8.933,17.866,2.0,200.0,0.0,200.0,WIN,TAKE_PROFIT,307,308,331
4,2025-03-19,LONG,2025-03-19 06:15:00+00:00,2025-03-19 06:16:00+00:00,2025-03-19 06:17:00+00:00,19515.52,19511.186,19524.188,19510.686,4.334,8.668,-1.1154,-111.54,0.0,-111.54,LOSS,STOP_LOSS,375,376,377
5,2025-03-19,LONG,2025-03-19 06:19:00+00:00,2025-03-19 06:20:00+00:00,2025-03-19 06:30:00+00:00,19516.389,19511.621,19525.925,19511.121,4.768,9.536,-1.1049,-110.49,0.0,-110.49,LOSS,STOP_LOSS,379,380,390
6,2025-03-19,LONG,2025-03-19 06:32:00+00:00,2025-03-19 06:33:00+00:00,2025-03-19 07:02:00+00:00,19518.554,19505.275,19545.112,19504.775,13.279,26.558,-1.0377,-103.77,0.0,-103.77,LOSS,STOP_LOSS,392,393,422
7,2025-03-19,LONG,2025-03-19 07:26:00+00:00,2025-03-19 07:27:00+00:00,2025-03-19 07:30:00+00:00,19514.21,19503.865,19534.9,19503.365,10.345,20.69,-1.0483,-104.83,0.0,-104.83,LOSS,STOP_LOSS,446,447,450
8,2025-03-19,SHORT,2025-03-19 07:37:00+00:00,2025-03-19 07:38:00+00:00,2025-03-19 08:09:00+00:00,19473.175,19499.264,19420.997,19500.764,26.089,52.178,-1.0575,-105.75,0.0,-105.75,LOSS,STOP_LOSS,457,458,489
9,2025-03-19,SHORT,2025-03-19 08:11:00+00:00,2025-03-19 08:12:00+00:00,2025-03-19 08:29:00+00:00,19486.208,19503.71,19451.204,19505.21,17.502,35.004,-1.0857,-108.57,0.0,-108.57,LOSS,STOP_LOSS,491,492,509
10,2025-03-19,LONG,2025-03-19 08:32:00+00:00,2025-03-19 08:33:00+00:00,2025-03-19 09:00:00+00:00,19515.653,19504.332,19538.295,19503.832,11.321,22.642,-1.0442,-104.42,0.0,-104.42,LOSS,STOP_LOSS,512,513,540
11,2025-03-19,LONG,2025-03-19 09:07:00+00:00,2025-03-19 09:08:00+00:00,2025-03-19 09:12:00+00:00,19515.898,19501.198,19545.298,19500.698,14.7,29.4,-1.034,-103.4,0.0,-103.4,LOSS,STOP_LOSS,547,548,552
12,2025-03-19,LONG,2025-03-19 09:23:00+00:00,2025-03-19 09:24:00+00:00,2025-03-19 09:28:00+00:00,19512.489,19503.776,19529.915,19529.915,8.713,17.426,2.0,200.0,0.0,200.0,WIN,TAKE_PROFIT,563,564,568
13,2025-03-19,LONG,2025-03-19 13:45:00+00:00,2025-03-19 13:46:00+00:00,2025-03-19 13:53:00+00:00,19527.597,19495.131,19592.529,19592.529,32.466,64.932,2.0,200.0,0.0,200.0,WIN,TAKE_PROFIT,825,826,833
